strike,highPrice,lowPrice,lastPrice,priceChange,bidPrice,askPrice,volume,openInterest,premium,tradeTime,StrikeIdentifier,lastPriceIndentifier,contractDate
2.6300,0.3427,0.3070,0.3427,-0.0676,N/A,N/A,N/A,41,3427.00,05/27/21,C,s,Jul 1 2021
2.6300,0.0122,0.0090,0.0122,-0.0025,0.0060,0.0110,82,1657,122.00,05/28/21,P,s,Jul 1 2021
2.6500,0.3990,0.3502,0.3502,+0.0252,0.3860,0.3960,N/A,1105,3502.00,05/28/21,C,s,Jul 1 2021
2.6500,0.0130,0.0100,0.0143,-0.0027,0.0090,0.0120,352,4566,143.00,05/28/21,P,s,Jul 1 2021
2.7000,0.3530,0.3066,0.3066,+0.0243,0.3400,0.3500,N/A,1594,3066.00,05/28/21,C,s,Jul 1 2021
2.7000,0.0140,0.0140,0.0140,-0.0066,0.0130,0.0160,2,9744,140.00,17:46 CT,P,,Jul 1 2021
2.7500,0.3090,0.3060,0.2652,+0.0232,0.2970,0.3070,1,8680,2652.00,05/28/21,C,s,Jul 1 2021
2.7500,0.0220,0.0220,0.0220,-0.0072,0.0200,0.0230,1,20144,220.00,20:11 CT,P,,Jul 1 2021
2.7800,0.2190,0.2190,0.2190,-0.0618,N/A,N/A,N/A,32,2190.00,05/27/21,C,s,Jul 1 2021
2.7800,0.0355,0.0300,0.0355,-0.0055,0.0230,0.0290,4,111,355.00,05/28/21,P,s,Jul 1 2021
2.8000,0.2680,0.2262,0.2262,+0.0219,0.2560,0.2650,2,2286,2262.00,05/28/21,C,s,Jul 1 2021
2.8000,0.0290,0.0290,0.0290,-0.0112,0.0280,0.0320,2,11946,290.00,22:24 CT,P,,Jul 1 2021
2.8200,0.1900,0.1900,0.1900,-0.0592,N/A,N/A,1,8,1900.00,05/27/21,C,s,Jul 1 2021
2.8200,0.0330,0.0330,0.0330,-0.0124,0.0310,0.0370,2,229,330.00,22:26 CT,P,,Jul 1 2021
2.8500,0.2290,0.1902,0.1902,+0.0206,0.2170,0.2260,156,2501,1902.00,05/28/21,C,s,Jul 1 2021
2.8500,0.0600,0.0400,0.0542,-0.0074,0.0390,0.0410,788,4362,542.00,05/28/21,P,s,Jul 1 2021
2.8700,0.1566,0.1566,0.1566,-0.0554,N/A,N/A,1,160,1566.00,05/27/21,C,s,Jul 1 2021
2.8700,0.0607,0.0460,0.0607,-0.0079,0.0430,0.0490,147,110,607.00,05/28/21,P,s,Jul 1 2021
2.9000,0.1920,0.1540,0.1573,+0.0190,0.1820,0.1900,1,2599,1573.00,05/28/21,C,s,Jul 1 2021
2.9000,0.0640,0.0530,0.0713,-0.0090,0.0530,0.0580,1515,11084,713.00,05/28/21,P,s,Jul 1 2021
2.9100,0.1850,0.1490,0.1490,+0.0165,N/A,N/A,1,20,1490.00,05/28/21,C,,Jul 1 2021
2.9100,0.0750,0.0570,0.0752,-0.0093,0.0550,0.0620,2,5,752.00,05/28/21,P,s,Jul 1 2021
2.9300,0.1393,0.1370,0.1370,+0.0157,N/A,N/A,3,46,1370.00,05/28/21,C,,Jul 1 2021
2.9300,0.0620,0.0620,0.0620,-0.0213,0.0620,0.0690,2,46,620.00,18:04 CT,P,,Jul 1 2021
2.9500,0.1590,0.1400,0.1279,+0.0172,0.1490,0.1570,395,2707,1279.00,05/28/21,C,s,Jul 1 2021
2.9500,0.1040,0.0700,0.0919,-0.0108,0.0700,0.0750,364,3482,919.00,05/28/21,P,s,Jul 1 2021
2.9700,0.1171,0.1171,0.1171,+0.0163,N/A,N/A,1,26,1171.00,05/28/21,C,s,Jul 1 2021
2.9700,0.1011,0.1011,0.1011,-0.0117,0.0770,0.0840,31,40,1011.00,05/28/21,P,s,Jul 1 2021
3.0000,0.1290,0.1000,0.1022,+0.0150,0.1200,0.1280,886,14009,1022.00,05/28/21,C,s,Jul 1 2021
3.0000,0.1120,0.0900,0.1162,-0.0130,0.0900,0.0960,537,6036,1162.00,05/28/21,P,s,Jul 1 2021
3.0500,0.1030,0.0860,0.0805,+0.0125,0.0960,0.1020,516,1342,805.00,05/28/21,C,s,Jul 1 2021
3.0500,0.1445,0.1150,0.1445,-0.0155,0.1150,0.1210,1,1558,1445.00,05/28/21,P,s,Jul 1 2021
3.0600,0.0767,0.0767,0.0767,+0.0121,0.0900,0.0980,1,150,767.00,05/28/21,C,s,Jul 1 2021
3.0600,0.1507,0.1300,0.1507,-0.0159,0.1190,0.1280,55,75,1507.00,05/28/21,P,s,Jul 1 2021
3.1000,0.0810,0.0530,0.0629,+0.0106,0.0750,0.0810,1543,5397,629.00,05/28/21,C,s,Jul 1 2021
3.1000,0.2270,0.1943,0.1943,+0.0392,N/A,N/A,N/A,84,1943.00,05/27/21,P,s,Jul 1 2021
3.1100,0.0598,0.0598,0.0598,+0.0102,0.0710,0.0780,1,10,598.00,05/28/21,C,s,Jul 1 2021
3.1100,0.2016,0.2016,0.2016,+0.0403,N/A,N/A,N/A,2,2016.00,05/27/21,P,s,Jul 1 2021
3.1500,0.0600,0.0600,0.0600,+0.0113,0.0580,0.0630,1,3841,600.00,22:09 CT,C,,Jul 1 2021
3.1500,0.2670,0.2319,0.2319,+0.0442,N/A,N/A,N/A,400,2319.00,05/27/21,P,s,Jul 1 2021
3.1700,0.0438,0.0438,0.0438,+0.0081,0.0510,0.0580,2,29,438.00,05/28/21,C,s,Jul 1 2021
3.1700,0.2477,0.2477,0.2477,+0.0461,N/A,N/A,N/A,120,2477.00,05/27/21,P,s,Jul 1 2021
3.2000,0.0480,0.0390,0.0376,+0.0075,0.0450,0.0480,479,3884,376.00,05/28/21,C,s,Jul 1 2021
3.2000,0.2530,0.2100,0.2160,-0.0561,N/A,N/A,1,661,2160.00,05/28/21,P,,Jul 1 2021
3.2200,0.0339,0.0339,0.0339,+0.0070,0.0400,0.0460,2,24,339.00,05/28/21,C,s,Jul 1 2021
3.2300,0.0322,0.0322,0.0322,+0.0068,0.0370,0.0430,3,111,322.00,05/28/21,C,s,Jul 1 2021
3.2300,0.2974,0.2974,0.2974,+0.0513,N/A,N/A,N/A,14,2974.00,05/27/21,P,s,Jul 1 2021
3.2500,0.0360,0.0360,0.0360,+0.0070,0.0350,0.0390,1,17751,360.00,22:07 CT,C,,Jul 1 2021
3.2500,0.3530,0.3310,0.3146,+0.0528,0.0090,N/A,1,777,3146.00,05/27/21,P,s,Jul 1 2021
3.3000,0.0290,0.0290,0.0290,+0.0067,0.0260,0.0300,1,2168,290.00,22:10 CT,C,,Jul 1 2021
3.3000,0.3980,0.3589,0.3589,+0.0561,N/A,0.7200,N/A,2,3589.00,05/27/21,P,s,Jul 1 2021
3.3200,0.0240,0.0240,0.0240,+0.0040,0.0220,0.0280,1,179,240.00,22:05 CT,C,,Jul 1 2021
3.3200,0.3770,0.3770,0.3770,+0.0572,N/A,N/A,N/A,1,3770.00,05/27/21,P,s,Jul 1 2021
3.3500,0.0220,0.0190,0.0171,+0.0046,0.0200,0.0230,136,2471,171.00,05/28/21,C,s,Jul 1 2021
3.3500,0.4440,0.4045,0.4045,+0.0587,N/A,N/A,N/A,14,4045.00,05/27/21,P,s,Jul 1 2021
3.4000,0.0170,0.0120,0.0131,+0.0039,0.0150,0.0180,129,2557,131.00,05/28/21,C,s,Jul 1 2021
3.4000,0.4290,0.4000,0.4000,N/A,N/A,N/A,1,N/A,4000.00,05/28/21,P,,Jul 1 2021
3.4500,0.0130,0.0130,0.0101,+0.0033,0.0110,0.0140,2,1159,101.00,05/28/21,C,s,Jul 1 2021
3.4500,0.4760,0.4640,0.4640,N/A,N/A,N/A,1,N/A,4640.00,05/28/21,P,,Jul 1 2021
3.4800,0.0100,0.0087,0.0087,+0.0030,0.0080,0.0130,10,25,87.00,05/28/21,C,s,Jul 1 2021
3.5000,0.0100,0.0080,0.0078,+0.0027,0.0080,0.0110,1118,20716,78.00,05/28/21,C,s,Jul 1 2021
3.5500,0.0080,0.0060,0.0061,+0.0021,0.0060,0.0090,35,1354,61.00,05/28/21,C,s,Jul 1 2021
3.6000,0.0060,0.0048,0.0048,+0.0016,0.0040,0.0090,5,996,48.00,05/28/21,C,s,Jul 1 2021
3.6500,0.0050,0.0038,0.0038,+0.0012,0.0020,N/A,3,654,38.00,05/28/21,C,s,Jul 1 2021
3.7000,0.0040,0.0040,0.0031,+0.0009,0.0020,N/A,58,2762,31.00,05/28/21,C,s,Jul 1 2021
3.7500,0.0030,0.0030,0.0026,+0.0007,0.0010,N/A,975,10767,26.00,05/28/21,C,s,Jul 1 2021
3.8000,0.0020,0.0022,0.0022,+0.0006,0.0010,N/A,1,2909,22.00,05/28/21,C,s,Jul 1 2021
3.8500,0.0020,0.0019,0.0019,+0.0005,N/A,N/A,N/A,31,19.00,05/28/21,C,s,Jul 1 2021
3.9000,0.0017,0.0017,0.0017,+0.0004,N/A,0.0110,N/A,2031,17.00,05/28/21,C,s,Jul 1 2021
3.9500,0.0010,0.0010,0.0011,-0.0008,N/A,N/A,123,268,11.00,05/27/21,C,s,Jul 1 2021
4.0000,0.0014,0.0014,0.0014,+0.0004,N/A,0.4400,1,17086,14.00,05/28/21,C,s,Jul 1 2021
4.0000,1.0430,1.0430,1.0430,+0.0683,N/A,N/A,N/A,25,10430.00,05/27/21,P,s,Jul 1 2021
4.0500,0.0020,0.0010,0.0009,-0.0006,N/A,N/A,1,173,9.00,05/27/21,C,s,Jul 1 2021
4.1000,0.0008,0.0010,0.0008,-0.0005,N/A,N/A,N/A,111,8.00,05/27/21,C,s,Jul 1 2021
4.1500,0.0007,0.0010,0.0007,-0.0004,N/A,N/A,N/A,257,7.00,05/27/21,C,s,Jul 1 2021
4.2000,0.0006,0.0006,0.0006,-0.0004,N/A,N/A,N/A,3,6.00,05/27/21,C,s,Jul 1 2021
4.2500,0.0005,0.0005,0.0005,-0.0003,N/A,N/A,N/A,7136,5.00,05/27/21,C,s,Jul 1 2021
4.3000,0.0004,0.0004,0.0004,-0.0003,N/A,N/A,N/A,590,4.00,05/27/21,C,s,Jul 1 2021
4.3500,0.0004,0.0004,0.0004,-0.0002,N/A,N/A,N/A,473,4.00,05/27/21,C,s,Jul 1 2021
4.5000,0.0002,0.0002,0.0002,-0.0002,N/A,N/A,N/A,1361,2.00,05/27/21,C,s,Jul 1 2021
4.7000,0.0001,0.0001,0.0001,-0.0001,N/A,N/A,N/A,30,1.00,05/27/21,C,s,Jul 1 2021
4.7500,0.0001,0.0001,0.0001,-0.0001,N/A,0.0030,N/A,678,1.00,05/27/21,C,s,Jul 1 2021
4.9000,0.0001,0.0001,0.0001,unch,N/A,N/A,N/A,1,1.00,05/27/21,C,s,Jul 1 2021
5.0000,0.0001,0.0001,0.0001,unch,N/A,N/A,N/A,2365,1.00,05/27/21,C,s,Jul 1 2021
5.2000,0.0001,0.0001,0.0001,unch,N/A,N/A,N/A,100,1.00,05/27/21,C,s,Jul 1 2021
5.2000,2.2420,2.2420,2.2420,+0.0690,N/A,N/A,N/A,100,22420.00,05/27/21,P,s,Jul 1 2021
5.3000,0.0001,0.0001,0.0001,unch,N/A,N/A,N/A,92,1.00,05/27/21,C,s,Jul 1 2021
5.5000,0.0001,0.0001,0.0001,unch,N/A,N/A,N/A,69,1.00,05/27/21,C,s,Jul 1 2021
6.0000,0.0001,0.0001,0.0001,unch,N/A,N/A,N/A,553,1.00,05/27/21,C,s,Jul 1 2021
6.7500,0.0001,0.0001,0.0001,unch,N/A,N/A,N/A,35,1.00,05/27/21,C,s,Jul 1 2021
7.0000,0.0001,0.0001,0.0001,unch,N/A,N/A,N/A,700,1.00,05/27/21,C,s,Jul 1 2021
1.1000,0.0001,0.0001,0.0001,unch,N/A,N/A,N/A,4,1.00,05/27/21,P,,Aug 1 2021
1.2500,0.0001,0.0001,0.0001,unch,N/A,N/A,N/A,253,1.00,05/27/21,P,s,Aug 1 2021
1.4500,0.0001,0.0001,0.0001,unch,N/A,N/A,N/A,1,1.00,05/27/21,P,s,Aug 1 2021
1.5000,0.0001,0.0001,0.0001,-0.0001,N/A,N/A,N/A,765,1.00,05/27/21,P,s,Aug 1 2021
1.5500,0.0001,0.0001,0.0001,-0.0001,N/A,N/A,N/A,1,1.00,05/27/21,P,s,Aug 1 2021
1.6000,0.0001,0.0001,0.0001,-0.0002,N/A,N/A,N/A,1,1.00,05/27/21,P,s,Aug 1 2021
1.6500,0.0002,0.0002,0.0002,-0.0002,N/A,N/A,N/A,1,2.00,05/27/21,P,s,Aug 1 2021
1.7000,0.0003,0.0003,0.0003,-0.0003,N/A,N/A,N/A,1000,3.00,05/27/21,P,s,Aug 1 2021
1.7500,0.0004,0.0004,0.0004,-0.0003,N/A,N/A,N/A,2453,4.00,05/27/21,P,s,Aug 1 2021
1.8000,0.0006,0.0006,0.0006,-0.0003,N/A,N/A,N/A,980,6.00,05/27/21,P,s,Aug 1 2021
1.8500,0.0007,0.0007,0.0007,-0.0004,N/A,N/A,N/A,10,7.00,05/27/21,P,s,Aug 1 2021
1.9000,0.0009,0.0009,0.0009,-0.0004,N/A,N/A,N/A,1380,9.00,05/27/21,P,s,Aug 1 2021
1.9500,0.0012,0.0012,0.0012,-0.0004,N/A,N/A,N/A,177,12.00,05/27/21,P,s,Aug 1 2021
2.0000,0.9795,0.9795,0.9795,-0.0673,N/A,N/A,N/A,25,9795.00,05/27/21,C,s,Aug 1 2021
2.0000,0.0015,0.0015,0.0015,-0.0003,N/A,N/A,N/A,11327,15.00,05/27/21,P,s,Aug 1 2021
2.0500,0.0019,0.0019,0.0019,-0.0002,N/A,N/A,N/A,451,19.00,05/27/21,P,s,Aug 1 2021
2.1000,0.0020,0.0020,0.0020,-0.0004,0.0010,0.2550,N/A,2477,20.00,05/28/21,P,s,Aug 1 2021
2.1400,0.0029,0.0029,0.0029,-0.0001,0.0010,N/A,N/A,10,29.00,05/27/21,P,s,Aug 1 2021
2.1500,0.8310,0.8310,0.8310,-0.0670,N/A,N/A,N/A,2,8310.00,05/27/21,C,s,Aug 1 2021
2.1500,0.0024,0.0024,0.0024,-0.0006,0.0020,N/A,N/A,571,24.00,05/28/21,P,s,Aug 1 2021
2.2000,0.0030,0.0030,0.0030,-0.0007,0.0020,N/A,N/A,1142,30.00,05/28/21,P,s,Aug 1 2021
2.2500,0.7326,0.6960,0.7326,-0.0670,N/A,N/A,N/A,477,7326.00,05/27/21,C,s,Aug 1 2021
2.2500,0.0038,0.0040,0.0038,-0.0009,0.0020,N/A,N/A,14978,38.00,05/28/21,P,s,Aug 1 2021
2.2600,0.0049,0.0049,0.0049,unch,0.0020,N/A,N/A,60,49.00,05/27/21,P,s,Aug 1 2021
2.3000,0.6838,0.6480,0.6838,-0.0669,N/A,N/A,N/A,101,6838.00,05/27/21,C,s,Aug 1 2021
2.3000,0.0049,0.0050,0.0049,-0.0010,0.0030,N/A,N/A,1318,49.00,05/28/21,P,s,Aug 1 2021
2.3400,0.6451,0.6451,0.6451,-0.0668,N/A,N/A,N/A,30,6451.00,05/27/21,C,s,Aug 1 2021
2.3400,0.0061,0.0061,0.0061,-0.0011,0.0030,N/A,N/A,65,61.00,05/28/21,P,s,Aug 1 2021
2.3500,0.6355,0.5990,0.6355,-0.0667,N/A,N/A,N/A,21,6355.00,05/27/21,C,s,Aug 1 2021
2.3500,0.0065,0.0060,0.0065,-0.0011,N/A,0.0090,N/A,1059,65.00,05/28/21,P,s,Aug 1 2021
2.4000,0.5879,0.5520,0.5879,-0.0662,N/A,N/A,N/A,200,5879.00,05/27/21,C,s,Aug 1 2021
2.4000,0.0086,0.0080,0.0086,-0.0013,N/A,0.0100,8,3336,86.00,05/28/21,P,s,Aug 1 2021
2.4200,0.0096,0.0090,0.0096,-0.0014,0.0030,N/A,N/A,131,96.00,05/28/21,P,s,Aug 1 2021
2.4500,0.5410,0.5060,0.5410,-0.0655,N/A,N/A,N/A,24,5410.00,05/27/21,C,s,Aug 1 2021
2.4500,0.0114,0.0100,0.0114,-0.0016,0.0060,N/A,N/A,642,114.00,05/28/21,P,s,Aug 1 2021
2.4600,0.5317,0.4980,0.5317,-0.0654,N/A,N/A,N/A,30,5317.00,05/27/21,C,s,Aug 1 2021
2.4600,0.0120,0.0110,0.0120,-0.0017,0.0030,N/A,N/A,73,120.00,05/28/21,P,s,Aug 1 2021
2.4800,0.5133,0.4800,0.5133,-0.0651,N/A,N/A,N/A,28,5133.00,05/27/21,C,s,Aug 1 2021
2.4800,0.0135,0.0120,0.0135,-0.0018,N/A,N/A,N/A,2,135.00,05/28/21,P,s,Aug 1 2021
2.5000,0.5670,0.5221,0.5221,+0.0270,0.5550,0.5660,N/A,1309,5221.00,05/28/21,C,s,Aug 1 2021
2.5000,0.0150,0.0130,0.0151,-0.0020,0.0110,0.0140,6,17616,151.00,05/28/21,P,s,Aug 1 2021
2.5100,0.0160,0.0140,0.0160,-0.0021,0.0110,0.0160,5,143,160.00,05/28/21,P,s,Aug 1 2021
2.5300,0.4682,0.4360,0.4682,-0.0639,N/A,N/A,N/A,3,4682.00,05/27/21,C,s,Aug 1 2021
2.5300,0.0179,0.0150,0.0179,-0.0023,0.0130,0.0170,N/A,3,179.00,05/28/21,P,s,Aug 1 2021
2.5500,0.5210,0.4771,0.4771,+0.0266,0.5100,0.5200,N/A,516,4771.00,05/28/21,C,s,Aug 1 2021
2.5500,0.0201,0.0170,0.0201,-0.0024,0.0150,0.0180,N/A,1331,201.00,05/28/21,P,s,Aug 1 2021
2.6000,0.4760,0.4336,0.4336,+0.0263,0.4650,0.4750,N/A,1135,4336.00,05/28/21,C,s,Aug 1 2021
2.6000,0.0266,0.0220,0.0266,-0.0028,0.0200,0.0240,23,4302,266.00,05/28/21,P,s,Aug 1 2021
2.6300,0.3823,0.3530,0.3823,-0.0610,N/A,N/A,N/A,2,3823.00,05/27/21,C,s,Aug 1 2021
2.6300,0.0313,0.0260,0.0313,-0.0030,0.0230,0.0290,N/A,2,313.00,05/28/21,P,s,Aug 1 2021
2.6500,0.4320,0.3919,0.3919,+0.0259,0.4220,0.4320,N/A,996,3919.00,05/28/21,C,s,Aug 1 2021
2.6500,0.0310,0.0290,0.0349,-0.0031,0.0270,0.0310,6,2053,349.00,05/28/21,P,s,Aug 1 2021
2.7000,0.3900,0.3522,0.3522,+0.0254,0.3810,0.3910,N/A,1298,3522.00,05/28/21,C,s,Aug 1 2021
2.7000,0.0452,0.0370,0.0452,-0.0037,0.0360,0.0390,N/A,2877,452.00,05/28/21,P,s,Aug 1 2021
2.7500,0.3510,0.3146,0.3146,+0.0247,0.3410,0.3510,N/A,7386,3146.00,05/28/21,C,s,Aug 1 2021
2.7500,0.0576,0.0470,0.0576,-0.0044,0.0460,0.0500,150,11532,576.00,05/28/21,P,s,Aug 1 2021
2.7800,0.2690,0.2690,0.2690,-0.0533,N/A,N/A,N/A,35,2690.00,05/27/21,C,s,Aug 1 2021
2.7800,0.0661,0.0661,0.0661,-0.0049,0.0530,0.0590,N/A,1,661.00,05/28/21,P,s,Aug 1 2021
2.8000,0.3130,0.2793,0.2793,+0.0238,0.3040,0.3140,N/A,2521,2793.00,05/28/21,C,s,Aug 1 2021
2.8000,0.0650,0.0600,0.0723,-0.0052,0.0590,0.0630,11,5153,723.00,05/28/21,P,s,Aug 1 2021
2.8200,0.2425,0.2425,0.2425,-0.0508,N/A,N/A,N/A,5,2425.00,05/27/21,C,s,Aug 1 2021
2.8200,0.0788,0.0788,0.0788,-0.0057,0.0640,0.0700,N/A,6,788.00,05/28/21,P,s,Aug 1 2021
2.8500,0.2790,0.2463,0.2463,+0.0225,0.2700,0.2790,117,1783,2463.00,05/28/21,C,s,Aug 1 2021
2.8500,0.0893,0.0740,0.0893,-0.0065,0.0740,0.0790,N/A,1484,893.00,05/28/21,P,s,Aug 1 2021
2.8700,0.2119,0.2119,0.2119,-0.0473,N/A,N/A,N/A,16,2119.00,05/27/21,C,s,Aug 1 2021
2.9000,0.2460,0.2158,0.2158,+0.0211,0.2370,0.2460,1,2216,2158.00,05/28/21,C,s,Aug 1 2021
2.9000,0.1088,0.0920,0.1088,-0.0079,0.0910,0.0960,250,2272,1088.00,05/28/21,P,s,Aug 1 2021
2.9100,0.1892,0.1710,0.1892,-0.0445,0.1890,N/A,N/A,14,1892.00,05/27/21,C,s,Aug 1 2021
2.9300,0.1785,0.1785,0.1785,-0.0431,N/A,N/A,N/A,15,1785.00,05/27/21,C,s,Aug 1 2021
2.9300,0.1216,0.1216,0.1216,-0.0089,0.1020,0.1090,N/A,1,1216.00,05/28/21,P,s,Aug 1 2021
2.9500,0.2150,0.1877,0.1877,+0.0195,0.2070,0.2160,100,2162,1877.00,05/28/21,C,s,Aug 1 2021
2.9500,0.1250,0.1110,0.1307,-0.0095,0.1110,0.1160,277,929,1307.00,05/28/21,P,s,Aug 1 2021
2.9700,0.1772,0.1772,0.1772,+0.0188,N/A,N/A,1,25,1772.00,05/28/21,C,s,Aug 1 2021
2.9700,0.1402,0.1402,0.1402,-0.0102,0.1180,0.1260,N/A,1,1402.00,05/28/21,P,s,Aug 1 2021
3.0000,0.1870,0.1623,0.1623,+0.0179,0.1800,0.1880,200,9804,1623.00,05/28/21,C,s,Aug 1 2021
3.0000,0.1553,0.1340,0.1553,-0.0111,0.1330,0.1390,280,2982,1553.00,05/28/21,P,s,Aug 1 2021
3.0500,0.1710,0.1710,0.1710,+0.0314,0.1560,0.1630,1,793,1710.00,22:57 CT,C,,Aug 1 2021
3.0500,0.1826,0.1590,0.1826,-0.0128,0.1580,0.1640,215,355,1826.00,05/28/21,P,s,Aug 1 2021
3.0600,0.1354,0.1354,0.1354,+0.0158,0.1500,0.1590,N/A,7,1354.00,05/28/21,C,s,Aug 1 2021
3.0600,0.1884,0.1884,0.1884,N/A,0.1620,0.1700,5,5,1884.00,05/28/21,P,s,Aug 1 2021
3.1000,0.1400,0.1330,0.1197,+0.0145,0.1340,0.1410,26,3633,1197.00,05/28/21,C,s,Aug 1 2021
