strike,lastPrice,tradeTime,StrikeIdentifier,lastPriceIndentifier,ContractDate
2.9,0.1573,05/28/21,C,s,2021-07-01
2.9,0.0713,05/28/21,P,s,2021-07-01
2.91,0.149,05/28/21,C,,2021-07-01
2.91,0.0752,05/28/21,P,s,2021-07-01
2.93,0.137,05/28/21,C,,2021-07-01
2.93,0.062,18:04 CT,P,,2021-07-01
2.95,0.1279,05/28/21,C,s,2021-07-01
2.95,0.0919,05/28/21,P,s,2021-07-01
2.97,0.1171,05/28/21,C,s,2021-07-01
2.97,0.1011,05/28/21,P,s,2021-07-01
3.0,0.1022,05/28/21,C,s,2021-07-01
3.0,0.1162,05/28/21,P,s,2021-07-01
3.05,0.0805,05/28/21,C,s,2021-07-01
3.05,0.1445,05/28/21,P,s,2021-07-01
3.06,0.0767,05/28/21,C,s,2021-07-01
3.06,0.1507,05/28/21,P,s,2021-07-01
3.1,0.0629,05/28/21,C,s,2021-07-01
3.1,0.1943,05/27/21,P,s,2021-07-01
3.11,0.0598,05/28/21,C,s,2021-07-01
3.11,0.2016,05/27/21,P,s,2021-07-01
3.15,0.06,22:09 CT,C,,2021-07-01
3.15,0.2319,05/27/21,P,s,2021-07-01
3.17,0.0438,05/28/21,C,s,2021-07-01
3.17,0.2477,05/27/21,P,s,2021-07-01
3.2,0.0376,05/28/21,C,s,2021-07-01
3.2,0.216,05/28/21,P,,2021-07-01
3.22,0.0339,05/28/21,C,s,2021-07-01
3.23,0.0322,05/28/21,C,s,2021-07-01
3.23,0.2974,05/27/21,P,s,2021-07-01
3.25,0.036,22:07 CT,C,,2021-07-01
3.25,0.3146,05/27/21,P,s,2021-07-01
3.3,0.029,22:10 CT,C,,2021-07-01
3.3,0.3589,05/27/21,P,s,2021-07-01
3.32,0.024,22:05 CT,C,,2021-07-01
3.32,0.377,05/27/21,P,s,2021-07-01
3.35,0.0171,05/28/21,C,s,2021-07-01
3.35,0.4045,05/27/21,P,s,2021-07-01
3.4,0.0131,05/28/21,C,s,2021-07-01
3.4,0.4,05/28/21,P,,2021-07-01
3.45,0.0101,05/28/21,C,s,2021-07-01
3.45,0.464,05/28/21,P,,2021-07-01
3.48,0.0087,05/28/21,C,s,2021-07-01
3.5,0.0078,05/28/21,C,s,2021-07-01
3.55,0.0061,05/28/21,C,s,2021-07-01
3.6,0.0048,05/28/21,C,s,2021-07-01
3.65,0.0038,05/28/21,C,s,2021-07-01
3.7,0.0031,05/28/21,C,s,2021-07-01
3.75,0.0026,05/28/21,C,s,2021-07-01
3.8,0.0022,05/28/21,C,s,2021-07-01
3.85,0.0019,05/28/21,C,s,2021-07-01
3.9,0.0017,05/28/21,C,s,2021-07-01
3.95,0.0011,05/27/21,C,s,2021-07-01
4.0,0.0014,05/28/21,C,s,2021-07-01
4.0,1.043,05/27/21,P,s,2021-07-01
4.05,0.0009,05/27/21,C,s,2021-07-01
4.1,0.0008,05/27/21,C,s,2021-07-01
4.15,0.0007,05/27/21,C,s,2021-07-01
4.2,0.0006,05/27/21,C,s,2021-07-01
4.25,0.0005,05/27/21,C,s,2021-07-01
4.3,0.0004,05/27/21,C,s,2021-07-01
4.35,0.0004,05/27/21,C,s,2021-07-01
4.5,0.0002,05/27/21,C,s,2021-07-01
4.7,0.0001,05/27/21,C,s,2021-07-01
4.75,0.0001,05/27/21,C,s,2021-07-01
4.9,0.0001,05/27/21,C,s,2021-07-01
5.0,0.0001,05/27/21,C,s,2021-07-01
5.2,0.0001,05/27/21,C,s,2021-07-01
5.2,2.242,05/27/21,P,s,2021-07-01
5.3,0.0001,05/27/21,C,s,2021-07-01
5.5,0.0001,05/27/21,C,s,2021-07-01
6.0,0.0001,05/27/21,C,s,2021-07-01
6.75,0.0001,05/27/21,C,s,2021-07-01
7.0,0.0001,05/27/21,C,s,2021-07-01
1.1,0.0001,05/27/21,P,,2021-08-01
1.25,0.0001,05/27/21,P,s,2021-08-01
1.45,0.0001,05/27/21,P,s,2021-08-01
1.5,0.0001,05/27/21,P,s,2021-08-01
1.55,0.0001,05/27/21,P,s,2021-08-01
1.6,0.0001,05/27/21,P,s,2021-08-01
1.65,0.0002,05/27/21,P,s,2021-08-01
1.7,0.0003,05/27/21,P,s,2021-08-01
1.75,0.0004,05/27/21,P,s,2021-08-01
1.8,0.0006,05/27/21,P,s,2021-08-01
1.85,0.0007,05/27/21,P,s,2021-08-01
1.9,0.0009,05/27/21,P,s,2021-08-01
1.95,0.0012,05/27/21,P,s,2021-08-01
2.0,0.9795,05/27/21,C,s,2021-08-01
2.0,0.0015,05/27/21,P,s,2021-08-01
2.05,0.0019,05/27/21,P,s,2021-08-01
2.1,0.002,05/28/21,P,s,2021-08-01
2.14,0.0029,05/27/21,P,s,2021-08-01
2.15,0.831,05/27/21,C,s,2021-08-01
2.15,0.0024,05/28/21,P,s,2021-08-01
2.2,0.003,05/28/21,P,s,2021-08-01
2.25,0.7326,05/27/21,C,s,2021-08-01
2.25,0.0038,05/28/21,P,s,2021-08-01
2.26,0.0049,05/27/21,P,s,2021-08-01
2.3,0.6838,05/27/21,C,s,2021-08-01
2.3,0.0049,05/28/21,P,s,2021-08-01
2.34,0.6451,05/27/21,C,s,2021-08-01
2.34,0.0061,05/28/21,P,s,2021-08-01
2.35,0.6355,05/27/21,C,s,2021-08-01
2.35,0.0065,05/28/21,P,s,2021-08-01
2.4,0.5879,05/27/21,C,s,2021-08-01
2.4,0.0086,05/28/21,P,s,2021-08-01
2.42,0.0096,05/28/21,P,s,2021-08-01
2.45,0.541,05/27/21,C,s,2021-08-01
2.45,0.0114,05/28/21,P,s,2021-08-01
2.46,0.5317,05/27/21,C,s,2021-08-01
2.46,0.012,05/28/21,P,s,2021-08-01
2.48,0.5133,05/27/21,C,s,2021-08-01
2.48,0.0135,05/28/21,P,s,2021-08-01
2.5,0.5221,05/28/21,C,s,2021-08-01
2.5,0.0151,05/28/21,P,s,2021-08-01
2.51,0.016,05/28/21,P,s,2021-08-01
2.53,0.4682,05/27/21,C,s,2021-08-01
2.53,0.0179,05/28/21,P,s,2021-08-01
2.55,0.4771,05/28/21,C,s,2021-08-01
2.55,0.0201,05/28/21,P,s,2021-08-01
2.6,0.4336,05/28/21,C,s,2021-08-01
2.6,0.0266,05/28/21,P,s,2021-08-01
2.63,0.3823,05/27/21,C,s,2021-08-01
2.63,0.0313,05/28/21,P,s,2021-08-01
2.65,0.3919,05/28/21,C,s,2021-08-01
2.65,0.0349,05/28/21,P,s,2021-08-01
2.7,0.3522,05/28/21,C,s,2021-08-01
2.7,0.0452,05/28/21,P,s,2021-08-01
2.75,0.3146,05/28/21,C,s,2021-08-01
2.75,0.0576,05/28/21,P,s,2021-08-01
2.78,0.269,05/27/21,C,s,2021-08-01
2.78,0.0661,05/28/21,P,s,2021-08-01
2.8,0.2793,05/28/21,C,s,2021-08-01
2.8,0.0723,05/28/21,P,s,2021-08-01
2.82,0.2425,05/27/21,C,s,2021-08-01
2.82,0.0788,05/28/21,P,s,2021-08-01
2.85,0.2463,05/28/21,C,s,2021-08-01
2.85,0.0893,05/28/21,P,s,2021-08-01
2.87,0.2119,05/27/21,C,s,2021-08-01
2.9,0.2158,05/28/21,C,s,2021-08-01
2.9,0.1088,05/28/21,P,s,2021-08-01
2.91,0.1892,05/27/21,C,s,2021-08-01
2.93,0.1785,05/27/21,C,s,2021-08-01
2.93,0.1216,05/28/21,P,s,2021-08-01
2.95,0.1877,05/28/21,C,s,2021-08-01
2.95,0.1307,05/28/21,P,s,2021-08-01
2.97,0.1772,05/28/21,C,s,2021-08-01
2.97,0.1402,05/28/21,P,s,2021-08-01
3.0,0.1623,05/28/21,C,s,2021-08-01
3.0,0.1553,05/28/21,P,s,2021-08-01
3.05,0.171,22:57 CT,C,,2021-08-01
3.05,0.1826,05/28/21,P,s,2021-08-01
3.06,0.1354,05/28/21,C,s,2021-08-01
3.06,0.1884,05/28/21,P,s,2021-08-01
3.1,0.1197,05/28/21,C,s,2021-08-01
3.1,0.2127,05/28/21,P,s,2021-08-01
3.11,0.116,05/28/21,C,s,2021-08-01
3.12,0.1124,05/28/21,C,s,2021-08-01
3.15,0.1021,05/28/21,C,s,2021-08-01
3.15,0.2451,05/28/21,P,s,2021-08-01
3.17,0.0958,05/28/21,C,s,2021-08-01
3.17,0.2756,05/27/21,P,s,2021-08-01
3.2,0.0871,05/28/21,C,s,2021-08-01
3.2,0.2801,05/28/21,P,s,2021-08-01
3.23,0.0792,05/28/21,C,s,2021-08-01
3.23,0.3206,05/27/21,P,s,2021-08-01
3.25,0.0743,05/28/21,C,s,2021-08-01
3.25,0.3173,05/28/21,P,s,2021-08-01
3.3,0.0632,05/28/21,C,s,2021-08-01
3.32,0.0593,05/28/21,C,s,2021-08-01
3.35,0.0538,05/28/21,C,s,2021-08-01
3.4,0.0459,05/28/21,C,s,2021-08-01
3.45,0.0391,05/28/21,C,s,2021-08-01
3.48,0.0356,05/28/21,C,s,2021-08-01
3.5,0.0335,05/28/21,C,s,2021-08-01
3.5,0.5265,05/28/21,P,s,2021-08-01
3.55,0.0288,05/28/21,C,s,2021-08-01
3.6,0.0248,05/28/21,C,s,2021-08-01
3.65,0.0214,05/28/21,C,s,2021-08-01
3.7,0.022,22:34 CT,C,,2021-08-01
3.75,0.018,22:12 CT,C,,2021-08-01
3.8,0.0142,05/28/21,C,s,2021-08-01
3.85,0.0124,05/28/21,C,s,2021-08-01
3.9,0.011,05/28/21,C,s,2021-08-01
3.95,0.0098,05/28/21,C,s,2021-08-01
4.0,0.0087,05/28/21,C,s,2021-08-01
4.0,1.0293,05/27/21,P,s,2021-08-01
4.05,0.0066,05/27/21,C,s,2021-08-01
4.1,0.0071,05/28/21,C,s,2021-08-01
4.15,0.0064,05/28/21,C,s,2021-08-01
4.2,0.0058,05/28/21,C,s,2021-08-01
4.25,0.0053,05/28/21,C,s,2021-08-01
4.3,0.0048,05/28/21,C,s,2021-08-01
4.35,0.0044,05/28/21,C,s,2021-08-01
4.5,0.0035,05/28/21,C,s,2021-08-01
4.6,0.003,05/28/21,C,s,2021-08-01
4.65,0.0028,05/28/21,C,s,2021-08-01
4.7,0.0026,05/28/21,C,s,2021-08-01
4.75,0.0024,05/28/21,C,s,2021-08-01
4.8,0.0023,05/28/21,C,s,2021-08-01
4.9,0.002,05/28/21,C,s,2021-08-01
5.0,0.0014,05/27/21,C,s,2021-08-01
5.2,0.0011,05/27/21,C,s,2021-08-01
5.2,2.223,05/27/21,P,s,2021-08-01
5.4,0.0008,05/27/21,C,s,2021-08-01
5.5,0.0007,05/27/21,C,s,2021-08-01
6.0,0.0003,05/27/21,C,s,2021-08-01
6.75,0.0001,05/27/21,C,s,2021-08-01
7.0,0.0001,05/27/21,C,s,2021-08-01
1.05,0.0001,05/27/21,P,,2021-09-01
1.45,0.0002,05/27/21,P,s,2021-09-01
1.5,0.0003,05/27/21,P,s,2021-09-01
1.55,0.0004,05/27/21,P,s,2021-09-01
1.6,0.0006,05/27/21,P,s,2021-09-01
1.65,0.0007,05/27/21,P,s,2021-09-01
1.7,0.001,05/27/21,P,s,2021-09-01
1.75,0.0012,05/27/21,P,s,2021-09-01
1.8,0.0013,05/28/21,P,s,2021-09-01
1.85,0.0019,05/27/21,P,s,2021-09-01
1.9,0.0023,05/27/21,P,s,2021-09-01
1.95,0.0028,05/27/21,P,s,2021-09-01
2.0,0.0027,05/28/21,P,s,2021-09-01
2.05,0.0033,05/28/21,P,s,2021-09-01
2.1,0.0049,05/27/21,P,s,2021-09-01
2.14,0.0057,05/27/21,P,s,2021-09-01
2.15,0.006,05/27/21,P,s,2021-09-01
2.2,0.0061,05/28/21,P,s,2021-09-01
2.25,0.7598,05/28/21,C,s,2021-09-01
2.25,0.0078,05/28/21,P,s,2021-09-01
2.26,0.0082,05/28/21,P,s,2021-09-01
2.3,0.712,05/28/21,C,s,2021-09-01
2.3,0.0101,05/28/21,P,s,2021-09-01
2.34,0.6486,05/27/21,C,s,2021-09-01
2.34,0.0124,05/28/21,P,s,2021-09-01
2.35,0.665,05/28/21,C,s,2021-09-01
2.35,0.0131,05/28/21,P,s,2021-09-01
2.4,0.6189,05/28/21,C,s,2021-09-01
2.4,0.0169,05/28/21,P,s,2021-09-01
2.42,0.0187,05/28/21,P,s,2021-09-01
2.45,0.5738,05/28/21,C,s,2021-09-01
2.45,0.0218,05/28/21,P,s,2021-09-01
2.46,0.5397,05/27/21,C,s,2021-09-01
2.46,0.0229,05/28/21,P,s,2021-09-01
2.48,0.5222,05/27/21,C,s,2021-09-01
2.48,0.0253,05/28/21,P,s,2021-09-01
2.5,0.5299,05/28/21,C,s,2021-09-01
2.5,0.024,22:57 CT,P,,2021-09-01
2.51,0.4965,05/27/21,C,s,2021-09-01
2.51,0.0293,05/28/21,P,s,2021-09-01
2.53,0.4796,05/27/21,C,s,2021-09-01
2.53,0.0322,05/28/21,P,s,2021-09-01
2.55,0.4873,05/28/21,C,s,2021-09-01
2.55,0.0353,05/28/21,P,s,2021-09-01
2.6,0.4463,05/28/21,C,s,2021-09-01
2.6,0.0443,05/28/21,P,s,2021-09-01
2.63,0.3992,05/27/21,C,s,2021-09-01
2.65,0.4073,05/28/21,C,s,2021-09-01
2.65,0.0553,05/28/21,P,s,2021-09-01
2.7,0.3701,05/28/21,C,s,2021-09-01
2.7,0.0681,05/28/21,P,s,2021-09-01
2.75,0.3349,05/28/21,C,s,2021-09-01
2.75,0.0829,05/28/21,P,s,2021-09-01
2.78,0.2935,05/27/21,C,s,2021-09-01
2.78,0.0927,05/28/21,P,s,2021-09-01
2.8,0.3017,05/28/21,C,s,2021-09-01
2.8,0.0997,05/28/21,P,s,2021-09-01
2.82,0.2687,05/27/21,C,s,2021-09-01
2.85,0.2706,05/28/21,C,s,2021-09-01
2.85,0.1186,05/28/21,P,s,2021-09-01
2.87,0.2397,05/27/21,C,s,2021-09-01
2.9,0.2417,05/28/21,C,s,2021-09-01
2.9,0.1397,05/28/21,P,s,2021-09-01
2.91,0.2181,05/27/21,C,s,2021-09-01
2.93,0.2078,05/27/21,C,s,2021-09-01
2.95,0.2148,05/28/21,C,s,2021-09-01
2.95,0.1628,05/28/21,P,s,2021-09-01
3.0,0.1901,05/28/21,C,s,2021-09-01
3.0,0.1881,05/28/21,P,s,2021-09-01
3.05,0.1675,05/28/21,C,s,2021-09-01
3.05,0.2155,05/28/21,P,s,2021-09-01
3.06,0.1633,05/28/21,C,s,2021-09-01
3.1,0.1472,05/28/21,C,s,2021-09-01
3.1,0.2452,05/28/21,P,s,2021-09-01
3.11,0.1434,05/28/21,C,s,2021-09-01
3.14,0.1326,05/28/21,C,s,2021-09-01
3.15,0.1292,05/28/21,C,s,2021-09-01
3.15,0.2772,05/28/21,P,s,2021-09-01
3.17,0.1226,05/28/21,C,s,2021-09-01
3.2,0.1133,05/28/21,C,s,2021-09-01
3.2,0.328,05/27/21,P,s,2021-09-01
3.23,0.1047,05/28/21,C,s,2021-09-01
3.25,0.0993,05/28/21,C,s,2021-09-01
3.3,0.0869,05/28/21,C,s,2021-09-01
3.32,0.0824,05/28/21,C,s,2021-09-01
3.35,0.0761,05/28/21,C,s,2021-09-01
3.4,0.0668,05/28/21,C,s,2021-09-01
3.43,0.0619,05/28/21,C,s,2021-09-01
3.45,0.0589,05/28/21,C,s,2021-09-01
3.48,0.0546,05/28/21,C,s,2021-09-01
3.5,0.0519,05/28/21,C,s,2021-09-01
3.55,0.0458,05/28/21,C,s,2021-09-01
3.6,0.0406,05/28/21,C,s,2021-09-01
3.65,0.036,05/28/21,C,s,2021-09-01
3.7,0.0321,05/28/21,C,s,2021-09-01
3.75,0.0287,05/28/21,C,s,2021-09-01
3.8,0.0257,05/28/21,C,s,2021-09-01
3.85,0.0232,05/28/21,C,s,2021-09-01
3.9,0.021,05/28/21,C,s,2021-09-01
3.95,0.019,05/28/21,C,s,2021-09-01
4.0,0.0173,05/28/21,C,s,2021-09-01
4.0,1.0412,05/27/21,P,s,2021-09-01
4.05,0.0158,05/28/21,C,s,2021-09-01
4.1,0.0136,05/27/21,C,s,2021-09-01
4.15,0.0125,05/27/21,C,s,2021-09-01
4.2,0.0115,05/27/21,C,s,2021-09-01
4.25,0.0107,05/27/21,C,s,2021-09-01
4.3,0.0099,05/27/21,C,s,2021-09-01
4.35,0.0092,05/27/21,C,s,2021-09-01
4.4,0.0086,05/27/21,C,s,2021-09-01
4.45,0.009,17:00 CT,C,,2021-09-01
4.5,0.0075,05/27/21,C,s,2021-09-01
4.6,0.0066,05/27/21,C,s,2021-09-01
4.65,0.0062,05/27/21,C,s,2021-09-01
4.7,0.006,17:00 CT,C,,2021-09-01
4.75,0.006,17:00 CT,C,,2021-09-01
4.9,0.005,17:00 CT,C,,2021-09-01
4.95,0.005,17:00 CT,C,,2021-09-01
5.0,0.0043,05/27/21,C,s,2021-09-01
5.0,2.0291,05/27/21,P,s,2021-09-01
5.05,0.004,17:00 CT,C,,2021-09-01
5.1,0.0042,05/28/21,C,s,2021-09-01
5.15,0.0036,05/27/21,C,s,2021-09-01
5.2,0.0034,05/27/21,C,s,2021-09-01
5.2,2.2283,05/27/21,P,s,2021-09-01
5.5,0.0025,05/27/21,C,s,2021-09-01
5.6,0.0023,05/27/21,C,s,2021-09-01
5.8,0.0019,05/27/21,C,s,2021-09-01
6.0,0.0016,05/27/21,C,s,2021-09-01
6.5,0.0011,05/27/21,C,s,2021-09-01
6.75,0.0009,05/27/21,C,s,2021-09-01
7.0,0.0007,05/27/21,C,s,2021-09-01
8.0,5.025,05/27/21,P,s,2021-09-01
1.4,0.0004,05/27/21,P,,2021-10-01
1.45,0.0006,05/27/21,P,s,2021-10-01
1.5,0.0007,05/27/21,P,s,2021-10-01
1.55,0.0009,05/27/21,P,s,2021-10-01
1.6,0.0012,05/27/21,P,s,2021-10-01
1.65,0.0014,05/27/21,P,s,2021-10-01
1.7,0.0018,05/27/21,P,s,2021-10-01
1.75,0.0021,05/27/21,P,s,2021-10-01
1.8,0.0026,05/27/21,P,s,2021-10-01
1.85,0.0032,05/27/21,P,s,2021-10-01
1.9,0.0039,05/27/21,P,s,2021-10-01
1.95,0.0046,05/27/21,P,s,2021-10-01
2.0,0.9964,05/27/21,C,s,2021-10-01
2.0,0.0055,05/27/21,P,s,2021-10-01
2.05,0.0067,05/27/21,P,s,2021-10-01
2.1,0.0081,05/27/21,P,s,2021-10-01
2.14,0.0089,05/28/21,P,s,2021-10-01
2.15,0.0093,05/28/21,P,s,2021-10-01
2.2,0.0115,05/28/21,P,s,2021-10-01
2.25,0.7812,05/28/21,C,s,2021-10-01
2.25,0.0143,05/28/21,P,s,2021-10-01
2.26,0.0149,05/28/21,P,s,2021-10-01
2.3,0.7347,05/28/21,C,s,2021-10-01
2.3,0.0177,05/28/21,P,s,2021-10-01
2.34,0.6733,05/27/21,C,s,2021-10-01
2.35,0.689,05/28/21,C,s,2021-10-01
2.35,0.022,05/28/21,P,s,2021-10-01
2.4,0.6443,05/28/21,C,s,2021-10-01
2.4,0.0274,05/28/21,P,s,2021-10-01
2.42,0.0298,05/28/21,P,s,2021-10-01
2.45,0.6008,05/28/21,C,s,2021-10-01
2.45,0.0338,05/28/21,P,s,2021-10-01
2.46,0.5683,05/27/21,C,s,2021-10-01
2.48,0.5516,05/27/21,C,s,2021-10-01
2.5,0.5586,05/28/21,C,s,2021-10-01
2.5,0.0416,05/28/21,P,s,2021-10-01
2.51,0.0434,05/28/21,P,s,2021-10-01
2.53,0.5106,05/27/21,C,s,2021-10-01
2.53,0.047,05/28/21,P,s,2021-10-01
2.55,0.5179,05/28/21,C,s,2021-10-01
2.55,0.0509,05/28/21,P,s,2021-10-01
2.6,0.4787,05/28/21,C,s,2021-10-01
2.6,0.0618,05/28/21,P,s,2021-10-01
2.63,0.4336,05/27/21,C,s,2021-10-01
2.65,0.4412,05/28/21,C,s,2021-10-01
2.65,0.0742,05/28/21,P,s,2021-10-01
2.7,0.4054,05/28/21,C,s,2021-10-01
2.7,0.0884,05/28/21,P,s,2021-10-01
2.75,0.3713,05/28/21,C,s,2021-10-01
2.75,0.1043,05/28/21,P,s,2021-10-01
2.78,0.3316,05/27/21,C,s,2021-10-01
2.8,0.3391,05/28/21,C,s,2021-10-01
2.8,0.1221,05/28/21,P,s,2021-10-01
2.82,0.3073,05/27/21,C,s,2021-10-01
2.82,0.1297,05/28/21,P,s,2021-10-01
2.85,0.3087,05/28/21,C,s,2021-10-01
2.85,0.1417,05/28/21,P,s,2021-10-01
2.87,0.2787,05/27/21,C,s,2021-10-01
2.9,0.2802,05/28/21,C,s,2021-10-01
2.9,0.1632,05/28/21,P,s,2021-10-01
2.91,0.2571,05/27/21,C,s,2021-10-01
2.93,0.2468,05/27/21,C,s,2021-10-01
2.95,0.2536,05/28/21,C,s,2021-10-01
2.95,0.1866,05/28/21,P,s,2021-10-01
3.0,0.2288,05/28/21,C,s,2021-10-01
3.0,0.2118,05/28/21,P,s,2021-10-01
3.05,0.206,05/28/21,C,s,2021-10-01
3.05,0.239,05/28/21,P,s,2021-10-01
3.06,0.2017,05/28/21,C,s,2021-10-01
3.1,0.1851,05/28/21,C,s,2021-10-01
3.1,0.2681,05/28/21,P,s,2021-10-01
3.11,0.1812,05/28/21,C,s,2021-10-01
3.14,0.1698,05/28/21,C,s,2021-10-01
3.15,0.1661,05/28/21,C,s,2021-10-01
3.17,0.159,05/28/21,C,s,2021-10-01
3.2,0.1489,05/28/21,C,s,2021-10-01
3.2,0.3461,05/27/21,P,s,2021-10-01
3.23,0.1392,05/28/21,C,s,2021-10-01
3.25,0.1332,05/28/21,C,s,2021-10-01
3.25,0.3815,05/27/21,P,s,2021-10-01
3.3,0.1191,05/28/21,C,s,2021-10-01
3.32,0.114,05/28/21,C,s,2021-10-01
3.35,0.1067,05/28/21,C,s,2021-10-01
3.4,0.0956,05/28/21,C,s,2021-10-01
3.45,0.0857,05/28/21,C,s,2021-10-01
3.48,0.0803,05/28/21,C,s,2021-10-01
3.5,0.0769,05/28/21,C,s,2021-10-01
3.5,0.5797,05/27/21,P,s,2021-10-01
3.55,0.0692,05/28/21,C,s,2021-10-01
3.6,0.0625,05/28/21,C,s,2021-10-01
3.65,0.0565,05/28/21,C,s,2021-10-01
3.7,0.0513,05/28/21,C,s,2021-10-01
3.75,0.0466,05/28/21,C,s,2021-10-01
3.8,0.0424,05/28/21,C,s,2021-10-01
3.85,0.0388,05/28/21,C,s,2021-10-01
3.9,0.0355,05/28/21,C,s,2021-10-01
3.95,0.0327,05/28/21,C,s,2021-10-01
4.0,0.0302,05/28/21,C,s,2021-10-01
4.0,1.0365,05/27/21,P,s,2021-10-01
4.05,0.0279,05/28/21,C,s,2021-10-01
4.1,0.0259,05/28/21,C,s,2021-10-01
4.15,0.024,05/28/21,C,s,2021-10-01
4.2,0.0223,05/28/21,C,s,2021-10-01
4.25,0.0208,05/28/21,C,s,2021-10-01
4.3,0.0194,05/28/21,C,s,2021-10-01
4.4,0.0153,05/27/21,C,s,2021-10-01
4.5,0.0149,05/28/21,C,s,2021-10-01
4.65,0.0113,05/27/21,C,s,2021-10-01
4.7,0.013,17:00 CT,C,,2021-10-01
4.75,0.0101,05/27/21,C,s,2021-10-01
4.8,0.0096,05/27/21,C,s,2021-10-01
4.9,0.01,17:00 CT,C,,2021-10-01
4.95,0.0083,05/27/21,C,s,2021-10-01
5.0,0.0087,05/28/21,C,s,2021-10-01
5.0,2.0167,05/27/21,P,s,2021-10-01
5.2,0.0067,05/27/21,C,s,2021-10-01
5.2,2.2155,05/27/21,P,s,2021-10-01
5.25,0.0064,05/27/21,C,s,2021-10-01
5.35,0.0059,05/27/21,C,s,2021-10-01
5.35,2.3647,05/27/21,P,s,2021-10-01
5.45,0.0055,05/27/21,C,s,2021-10-01
5.5,0.0053,05/27/21,C,s,2021-10-01
5.6,2.557,17:00 CT,P,,2021-10-01
5.75,0.0044,05/27/21,C,s,2021-10-01
5.8,0.0043,05/27/21,C,s,2021-10-01
6.0,0.0038,05/27/21,C,s,2021-10-01
6.15,0.0034,05/27/21,C,s,2021-10-01
6.45,0.0029,05/27/21,C,s,2021-10-01
6.5,0.0028,05/27/21,C,s,2021-10-01
6.75,0.0024,05/27/21,C,s,2021-10-01
7.0,0.002,05/27/21,C,s,2021-10-01
1.75,0.0028,05/27/21,P,,2021-11-01
1.8,0.0034,05/27/21,P,s,2021-11-01
1.85,0.0042,05/27/21,P,s,2021-11-01
