CALLS UPDATED,CALLS VOLUME,CALLS HIGH,CALL SLOW,CALLS PRIOR SETTLE,CALLS CHANGE,CALLS LAST,PUTS LAST,PUTS CHANGE,PUTS PRIOR SETTLE,PUTS LOW,PUTS HIGH,PUTS VOLUME,PUTS UPDATED,STRIKE PRICE,Date
16:00:00 CT 30 May 2021,0,-,-,0.3101,-,-,16:00:00 CT 30 May 2021,0,-,-,0.5383,-,-,2750.0,Sep 2026
16:00:00 CT 30 May 2021,0,-,-,0.2440,-,-,16:00:00 CT 30 May 2021,0,-,-,0.7129,-,-,3000.0,Sep 2026
16:00:00 CT 30 May 2021,0,-,-,0.1943,-,-,16:00:00 CT 30 May 2021,0,-,-,0.9039,-,-,3250.0,Sep 2026
16:00:00 CT 30 May 2021,0,-,-,0.1570,-,-,16:00:00 CT 30 May 2021,0,-,-,1.1074,-,-,3500.0,Sep 2026
16:00:00 CT 30 May 2021,0,-,-,0.1070,-,-,16:00:00 CT 30 May 2021,0,-,-,1.5388,-,-,4000.0,Sep 2026
16:00:00 CT 30 May 2021,0,-,-,0.0586,-,-,16:00:00 CT 30 May 2021,0,-,-,2.4533,-,-,5000.0,Sep 2026
16:00:00 CT 30 May 2021,0,-,-,0.0534,-,-,16:00:00 CT 30 May 2021,0,-,-,2.6406,-,-,5200.0,Sep 2026
16:00:00 CT 30 May 2021,0,-,-,0.0369,-,-,16:00:00 CT 30 May 2021,0,-,-,3.3943,-,-,6000.0,Sep 2026
16:00:00 CT 30 May 2021,0,-,-,0.0292,-,-,16:00:00 CT 30 May 2021,0,-,-,3.8681,-,-,6500.0,Sep 2026
16:00:00 CT 30 May 2021,0,-,-,0.0262,-,-,16:00:00 CT 30 May 2021,0,-,-,4.1058,-,-,6750.0,Sep 2026
16:00:00 CT 30 May 2021,0,-,-,0.5002,-,-,16:00:00 CT 30 May 2021,0,-,-,0.2572,-,-,2250.0,Aug 2026
16:00:00 CT 30 May 2021,0,-,-,0.3512,-,-,16:00:00 CT 30 May 2021,0,-,-,0.4457,-,-,2600.0,Aug 2026
16:00:00 CT 30 May 2021,0,-,-,0.3024,-,-,16:00:00 CT 30 May 2021,0,-,-,0.5416,-,-,2750.0,Aug 2026
16:00:00 CT 30 May 2021,0,-,-,0.2373,-,-,16:00:00 CT 30 May 2021,0,-,-,0.7176,-,-,3000.0,Aug 2026
16:00:00 CT 30 May 2021,0,-,-,0.1886,-,-,16:00:00 CT 30 May 2021,0,-,-,0.9099,-,-,3250.0,Aug 2026
16:00:00 CT 30 May 2021,0,-,-,0.1521,-,-,16:00:00 CT 30 May 2021,0,-,-,1.1146,-,-,3500.0,Aug 2026
16:00:00 CT 30 May 2021,0,-,-,0.1033,-,-,16:00:00 CT 30 May 2021,0,-,-,1.5479,-,-,4000.0,Aug 2026
16:00:00 CT 30 May 2021,0,-,-,0.0564,-,-,16:00:00 CT 30 May 2021,0,-,-,2.4654,-,-,5000.0,Aug 2026
16:00:00 CT 30 May 2021,0,-,-,0.0513,-,-,16:00:00 CT 30 May 2021,0,-,-,2.6532,-,-,5200.0,Aug 2026
16:00:00 CT 30 May 2021,0,-,-,0.0351,-,-,16:00:00 CT 30 May 2021,0,-,-,3.4085,-,-,6000.0,Aug 2026
16:00:00 CT 30 May 2021,0,-,-,0.0278,-,-,16:00:00 CT 30 May 2021,0,-,-,3.8834,-,-,6500.0,Aug 2026
16:00:00 CT 30 May 2021,0,-,-,0.0249,-,-,16:00:00 CT 30 May 2021,0,-,-,4.1216,-,-,6750.0,Aug 2026
16:00:00 CT 30 May 2021,0,-,-,0.4922,-,-,16:00:00 CT 30 May 2021,0,-,-,0.2488,-,-,2210.0,Jul 2026
16:00:00 CT 30 May 2021,0,-,-,0.4723,-,-,16:00:00 CT 30 May 2021,0,-,-,0.2676,-,-,2250.0,Jul 2026
16:00:00 CT 30 May 2021,0,-,-,0.3287,-,-,16:00:00 CT 30 May 2021,0,-,-,0.4619,-,-,2600.0,Jul 2026
16:00:00 CT 30 May 2021,0,-,-,0.2822,-,-,16:00:00 CT 30 May 2021,0,-,-,0.5603,-,-,2750.0,Jul 2026
16:00:00 CT 30 May 2021,0,-,-,0.2205,-,-,16:00:00 CT 30 May 2021,0,-,-,0.7400,-,-,3000.0,Jul 2026
16:00:00 CT 30 May 2021,0,-,-,0.2004,-,-,16:00:00 CT 30 May 2021,0,-,-,0.8165,-,-,3100.0,Jul 2026
16:00:00 CT 30 May 2021,0,-,-,0.1746,-,-,16:00:00 CT 30 May 2021,0,-,-,0.9356,-,-,3250.0,Jul 2026
16:00:00 CT 30 May 2021,0,-,-,0.1405,-,-,16:00:00 CT 30 May 2021,0,-,-,1.1430,-,-,3500.0,Jul 2026
16:00:00 CT 30 May 2021,0,-,-,0.0952,-,-,16:00:00 CT 30 May 2021,0,-,-,1.5805,-,-,4000.0,Jul 2026
16:00:00 CT 30 May 2021,0,-,-,0.0523,-,-,16:00:00 CT 30 May 2021,0,-,-,2.5033,-,-,5000.0,Jul 2026
16:00:00 CT 30 May 2021,0,-,-,0.0498,-,-,16:00:00 CT 30 May 2021,0,-,-,2.5975,-,-,5100.0,Jul 2026
16:00:00 CT 30 May 2021,0,-,-,0.0320,-,-,16:00:00 CT 30 May 2021,0,-,-,3.4488,-,-,6000.0,Jul 2026
16:00:00 CT 30 May 2021,0,-,-,0.0253,-,-,16:00:00 CT 30 May 2021,0,-,-,3.9250,-,-,6500.0,Jul 2026
16:00:00 CT 30 May 2021,0,-,-,0.0226,-,-,16:00:00 CT 30 May 2021,0,-,-,4.1638,-,-,6750.0,Jul 2026
16:00:00 CT 30 May 2021,0,-,-,0.4806,-,-,16:00:00 CT 30 May 2021,0,-,-,0.2447,-,-,2180.0,Jun 2026
16:00:00 CT 30 May 2021,0,-,-,0.4464,-,-,16:00:00 CT 30 May 2021,0,-,-,0.2781,-,-,2250.0,Jun 2026
16:00:00 CT 30 May 2021,0,-,-,0.3080,-,-,16:00:00 CT 30 May 2021,0,-,-,0.4782,-,-,2600.0,Jun 2026
16:00:00 CT 30 May 2021,0,-,-,0.2636,-,-,16:00:00 CT 30 May 2021,0,-,-,0.5789,-,-,2750.0,Jun 2026
16:00:00 CT 30 May 2021,0,-,-,0.2051,-,-,16:00:00 CT 30 May 2021,0,-,-,0.7621,-,-,3000.0,Jun 2026
16:00:00 CT 30 May 2021,0,-,-,0.1620,-,-,16:00:00 CT 30 May 2021,0,-,-,0.9608,-,-,3250.0,Jun 2026
16:00:00 CT 30 May 2021,0,-,-,0.1301,-,-,16:00:00 CT 30 May 2021,0,-,-,1.1707,-,-,3500.0,Jun 2026
16:00:00 CT 30 May 2021,0,-,-,0.0880,-,-,16:00:00 CT 30 May 2021,0,-,-,1.6121,-,-,4000.0,Jun 2026
16:00:00 CT 30 May 2021,0,-,-,0.0485,-,-,16:00:00 CT 30 May 2021,0,-,-,2.5396,-,-,5000.0,Jun 2026
16:00:00 CT 30 May 2021,0,-,-,0.0473,-,-,16:00:00 CT 30 May 2021,0,-,-,2.5868,-,-,5050.0,Jun 2026
16:00:00 CT 30 May 2021,0,-,-,0.0292,-,-,16:00:00 CT 30 May 2021,0,-,-,3.4874,-,-,6000.0,Jun 2026
16:00:00 CT 30 May 2021,0,-,-,0.0231,-,-,16:00:00 CT 30 May 2021,0,-,-,3.9648,-,-,6500.0,Jun 2026
16:00:00 CT 30 May 2021,0,-,-,0.0206,-,-,16:00:00 CT 30 May 2021,0,-,-,4.2041,-,-,6750.0,Jun 2026
16:00:00 CT 30 May 2021,0,-,-,0.4766,-,-,16:00:00 CT 30 May 2021,0,-,-,0.2500,-,-,2210.0,May 2026
16:00:00 CT 30 May 2021,0,-,-,0.4569,-,-,16:00:00 CT 30 May 2021,0,-,-,0.2690,-,-,2250.0,May 2026
16:00:00 CT 30 May 2021,0,-,-,0.3149,-,-,16:00:00 CT 30 May 2021,0,-,-,0.4660,-,-,2600.0,May 2026
16:00:00 CT 30 May 2021,0,-,-,0.2693,-,-,16:00:00 CT 30 May 2021,0,-,-,0.5656,-,-,2750.0,May 2026
16:00:00 CT 30 May 2021,0,-,-,0.2093,-,-,16:00:00 CT 30 May 2021,0,-,-,0.7478,-,-,3000.0,May 2026
16:00:00 CT 30 May 2021,0,-,-,0.1650,-,-,16:00:00 CT 30 May 2021,0,-,-,0.9455,-,-,3250.0,May 2026
16:00:00 CT 30 May 2021,0,-,-,0.1321,-,-,16:00:00 CT 30 May 2021,0,-,-,1.1548,-,-,3500.0,May 2026
16:00:00 CT 30 May 2021,0,-,-,0.0890,-,-,16:00:00 CT 30 May 2021,0,-,-,1.5960,-,-,4000.0,May 2026
16:00:00 CT 30 May 2021,0,-,-,0.0487,-,-,16:00:00 CT 30 May 2021,0,-,-,2.5242,-,-,5000.0,May 2026
16:00:00 CT 30 May 2021,0,-,-,0.0476,-,-,16:00:00 CT 30 May 2021,0,-,-,2.5714,-,-,5050.0,May 2026
16:00:00 CT 30 May 2021,0,-,-,0.0293,-,-,16:00:00 CT 30 May 2021,0,-,-,3.4732,-,-,6000.0,May 2026
16:00:00 CT 30 May 2021,0,-,-,0.0230,-,-,16:00:00 CT 30 May 2021,0,-,-,3.9512,-,-,6500.0,May 2026
16:00:00 CT 30 May 2021,0,-,-,0.0206,-,-,16:00:00 CT 30 May 2021,0,-,-,4.1908,-,-,6750.0,May 2026
16:00:00 CT 30 May 2021,0,-,-,0.6642,-,-,16:00:00 CT 30 May 2021,0,-,-,0.1754,-,-,2250.0,Apr 2026
16:00:00 CT 30 May 2021,0,-,-,0.5421,-,-,16:00:00 CT 30 May 2021,0,-,-,0.2667,-,-,2470.0,Apr 2026
16:00:00 CT 30 May 2021,0,-,-,0.4800,-,-,16:00:00 CT 30 May 2021,0,-,-,0.3306,-,-,2600.0,Apr 2026
16:00:00 CT 30 May 2021,0,-,-,0.4173,-,-,16:00:00 CT 30 May 2021,0,-,-,0.4134,-,-,2750.0,Apr 2026
16:00:00 CT 30 May 2021,0,-,-,0.3327,-,-,16:00:00 CT 30 May 2021,0,-,-,0.5713,-,-,3000.0,Apr 2026
16:00:00 CT 30 May 2021,0,-,-,0.2701,-,-,16:00:00 CT 30 May 2021,0,-,-,0.7511,-,-,3250.0,Apr 2026
16:00:00 CT 30 May 2021,0,-,-,0.2238,-,-,16:00:00 CT 30 May 2021,0,-,-,0.9473,-,-,3500.0,Apr 2026
16:00:00 CT 30 May 2021,0,-,-,0.1619,-,-,16:00:00 CT 30 May 2021,0,-,-,1.3702,-,-,4000.0,Apr 2026
16:00:00 CT 30 May 2021,0,-,-,0.0981,-,-,16:00:00 CT 30 May 2021,0,-,-,2.2763,-,-,5000.0,Apr 2026
16:00:00 CT 30 May 2021,0,-,-,0.0747,-,-,16:00:00 CT 30 May 2021,0,-,-,2.8347,-,-,5600.0,Apr 2026
16:00:00 CT 30 May 2021,0,-,-,0.0631,-,-,16:00:00 CT 30 May 2021,0,-,-,3.2111,-,-,6000.0,Apr 2026
16:00:00 CT 30 May 2021,0,-,-,0.0503,-,-,16:00:00 CT 30 May 2021,0,-,-,3.6832,-,-,6500.0,Apr 2026
16:00:00 CT 30 May 2021,0,-,-,0.0440,-,-,16:00:00 CT 30 May 2021,0,-,-,3.9193,-,-,6750.0,Apr 2026
16:00:00 CT 30 May 2021,0,-,-,0.7728,-,-,16:00:00 CT 30 May 2021,0,-,-,0.1426,-,-,2250.0,Mar 2026
16:00:00 CT 30 May 2021,0,-,-,0.5788,-,-,16:00:00 CT 30 May 2021,0,-,-,0.2691,-,-,2580.0,Mar 2026
16:00:00 CT 30 May 2021,0,-,-,0.5686,-,-,16:00:00 CT 30 May 2021,0,-,-,0.2783,-,-,2600.0,Mar 2026
16:00:00 CT 30 May 2021,0,-,-,0.4972,-,-,16:00:00 CT 30 May 2021,0,-,-,0.3525,-,-,2750.0,Mar 2026
16:00:00 CT 30 May 2021,0,-,-,0.3983,-,-,16:00:00 CT 30 May 2021,0,-,-,0.4964,-,-,3000.0,Mar 2026
16:00:00 CT 30 May 2021,0,-,-,0.3222,-,-,16:00:00 CT 30 May 2021,0,-,-,0.6630,-,-,3250.0,Mar 2026
16:00:00 CT 30 May 2021,0,-,-,0.2658,-,-,16:00:00 CT 30 May 2021,0,-,-,0.8493,-,-,3500.0,Mar 2026
16:00:00 CT 30 May 2021,0,-,-,0.1902,-,-,16:00:00 CT 30 May 2021,0,-,-,1.2593,-,-,4000.0,Mar 2026
16:00:00 CT 30 May 2021,0,-,-,0.1138,-,-,16:00:00 CT 30 May 2021,0,-,-,2.1539,-,-,5000.0,Mar 2026
16:00:00 CT 30 May 2021,0,-,-,0.0801,-,-,16:00:00 CT 30 May 2021,0,-,-,2.8970,-,-,5800.0,Mar 2026
16:00:00 CT 30 May 2021,0,-,-,0.0738,-,-,16:00:00 CT 30 May 2021,0,-,-,3.0849,-,-,6000.0,Mar 2026
16:00:00 CT 30 May 2021,0,-,-,0.0601,-,-,16:00:00 CT 30 May 2021,0,-,-,3.5567,-,-,6500.0,Mar 2026
16:00:00 CT 30 May 2021,0,-,-,0.0538,-,-,16:00:00 CT 30 May 2021,0,-,-,3.7931,-,-,6750.0,Mar 2026
16:00:00 CT 30 May 2021,0,-,-,0.8048,-,-,16:00:00 CT 30 May 2021,0,-,-,0.1319,-,-,2250.0,Feb 2026
16:00:00 CT 30 May 2021,0,-,-,0.5941,-,-,16:00:00 CT 30 May 2021,0,-,-,0.2615,-,-,2600.0,Feb 2026
16:00:00 CT 30 May 2021,0,-,-,0.5888,-,-,16:00:00 CT 30 May 2021,0,-,-,0.2660,-,-,2610.0,Feb 2026
16:00:00 CT 30 May 2021,0,-,-,0.5198,-,-,16:00:00 CT 30 May 2021,0,-,-,0.3331,-,-,2750.0,Feb 2026
16:00:00 CT 30 May 2021,0,-,-,0.4165,-,-,16:00:00 CT 30 May 2021,0,-,-,0.4729,-,-,3000.0,Feb 2026
16:00:00 CT 30 May 2021,0,-,-,0.3364,-,-,16:00:00 CT 30 May 2021,0,-,-,0.6358,-,-,3250.0,Feb 2026
16:00:00 CT 30 May 2021,0,-,-,0.2765,-,-,16:00:00 CT 30 May 2021,0,-,-,0.8191,-,-,3500.0,Feb 2026
16:00:00 CT 30 May 2021,0,-,-,0.1968,-,-,16:00:00 CT 30 May 2021,0,-,-,1.2256,-,-,4000.0,Feb 2026
16:00:00 CT 30 May 2021,0,-,-,0.1167,-,-,16:00:00 CT 30 May 2021,0,-,-,2.1179,-,-,5000.0,Feb 2026
16:00:00 CT 30 May 2021,0,-,-,0.0804,-,-,16:00:00 CT 30 May 2021,0,-,-,2.9080,-,-,5850.0,Feb 2026
16:00:00 CT 30 May 2021,0,-,-,0.0755,-,-,16:00:00 CT 30 May 2021,0,-,-,3.0490,-,-,6000.0,Feb 2026
16:00:00 CT 30 May 2021,0,-,-,0.0616,-,-,16:00:00 CT 30 May 2021,0,-,-,3.5213,-,-,6500.0,Feb 2026
16:00:00 CT 30 May 2021,0,-,-,0.0552,-,-,16:00:00 CT 30 May 2021,0,-,-,3.7580,-,-,6750.0,Feb 2026
16:00:00 CT 30 May 2021,0,-,-,0.7257,-,-,16:00:00 CT 30 May 2021,0,-,-,0.1541,-,-,2250.0,Jan 2026
16:00:00 CT 30 May 2021,0,-,-,0.5778,-,-,16:00:00 CT 30 May 2021,0,-,-,0.2496,-,-,2500.0,Jan 2026
16:00:00 CT 30 May 2021,0,-,-,0.5671,-,-,16:00:00 CT 30 May 2021,0,-,-,0.2584,-,-,2520.0,Jan 2026
16:00:00 CT 30 May 2021,0,-,-,0.5259,-,-,16:00:00 CT 30 May 2021,0,-,-,0.2952,-,-,2600.0,Jan 2026
16:00:00 CT 30 May 2021,0,-,-,0.4557,-,-,16:00:00 CT 30 May 2021,0,-,-,0.3710,-,-,2750.0,Jan 2026
16:00:00 CT 30 May 2021,0,-,-,0.3577,-,-,16:00:00 CT 30 May 2021,0,-,-,0.5165,-,-,3000.0,Jan 2026
16:00:00 CT 30 May 2021,0,-,-,0.2237,-,-,16:00:00 CT 30 May 2021,0,-,-,0.8692,-,-,3500.0,Jan 2026
16:00:00 CT 30 May 2021,0,-,-,0.1574,-,-,16:00:00 CT 30 May 2021,0,-,-,1.2898,-,-,4000.0,Jan 2026
16:00:00 CT 30 May 2021,0,-,-,0.0916,-,-,16:00:00 CT 30 May 2021,0,-,-,2.1978,-,-,5000.0,Jan 2026
16:00:00 CT 30 May 2021,0,-,-,0.0653,-,-,16:00:00 CT 30 May 2021,0,-,-,2.7557,-,-,5600.0,Jan 2026
16:00:00 CT 30 May 2021,0,-,-,0.0519,-,-,16:00:00 CT 30 May 2021,0,-,-,3.1318,-,-,6000.0,Jan 2026
16:00:00 CT 30 May 2021,0,-,-,0.0386,-,-,16:00:00 CT 30 May 2021,0,-,-,3.6053,-,-,6500.0,Jan 2026
16:00:00 CT 30 May 2021,0,-,-,0.0333,-,-,16:00:00 CT 30 May 2021,0,-,-,3.8435,-,-,6750.0,Jan 2026
16:00:00 CT 30 May 2021,0,-,-,0.5710,-,-,16:00:00 CT 30 May 2021,0,-,-,0.2005,-,-,2250.0,Dec 2025
16:00:00 CT 30 May 2021,0,-,-,0.5109,-,-,16:00:00 CT 30 May 2021,0,-,-,0.2477,-,-,2360.0,Dec 2025
16:00:00 CT 30 May 2021,0,-,-,0.4421,-,-,16:00:00 CT 30 May 2021,0,-,-,0.3153,-,-,2500.0,Dec 2025
16:00:00 CT 30 May 2021,0,-,-,0.3981,-,-,16:00:00 CT 30 May 2021,0,-,-,0.3688,-,-,2600.0,Dec 2025
16:00:00 CT 30 May 2021,0,-,-,0.3398,-,-,16:00:00 CT 30 May 2021,0,-,-,0.4568,-,-,2750.0,Dec 2025
16:00:00 CT 30 May 2021,0,-,-,0.2613,-,-,16:00:00 CT 30 May 2021,0,-,-,0.6220,-,-,3000.0,Dec 2025
16:00:00 CT 30 May 2021,0,-,-,0.1659,-,-,16:00:00 CT 30 May 2021,0,-,-,1.0140,-,-,3500.0,Dec 2025
16:00:00 CT 30 May 2021,0,-,-,0.1186,-,-,16:00:00 CT 30 May 2021,0,-,-,1.4541,-,-,4000.0,Dec 2025
16:00:00 CT 30 May 2021,0,-,-,0.0663,-,-,16:00:00 CT 30 May 2021,0,-,-,2.3767,-,-,5000.0,Dec 2025
